gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"ALOX15P1"	23
"ALOX5"	171
"ALOX5AP"	86
"ALOXE3"	44
"ALPI"	1
"ALPK1"	140
"ALPK2"	5
"ALPK3"	188
"ALPL"	363
"ALPP"	0
"ALPPL2"	0
"ALS2"	2440
"ALS2CL"	456
"ALS2CR12"	120
"ALX1"	0
"ALX3"	6
"ALX4"	6
"ALYREF"	325
"AMACR"	297
"AMBN"	1
"AMBP"	1
"AMBRA1"	1436
"AMD1"	3010
"AMDHD1"	7
"AMDHD2"	336
"AMELX"	0
"AMELY"	0
"AMER1"	469
"AMER2"	10241
"AMER3"	1165
"AMFR"	3029
"AMH"	43
"AMHR2"	0
"AMIGO1"	1950
"AMIGO2"	145
"AMIGO3"	43
"AMMECR1"	205
"AMMECR1L"	386
"AMN"	3
"AMN1"	758
"AMOT"	2421
"AMOTL1"	1525
"AMOTL2"	2660
"AMPD1"	0
"AMPD2"	2189
"AMPD3"	1279
"AMPH"	3438
"AMT"	179
"AMTN"	0
"AMY1A"	0
"AMY1B"	0
"AMY1C"	0
"AMY2A"	10
"AMY2B"	634
"AMZ1"	365
"AMZ2"	1400
"AMZ2P1"	362
"ANAPC1"	1600
"ANAPC10"	161
"ANAPC11"	250
"ANAPC13"	478
"ANAPC15"	325
"ANAPC16"	495
"ANAPC1P1"	6
"ANAPC2"	587
"ANAPC4"	500
"ANAPC5"	2306
"ANAPC7"	927
"ANG"	15
"ANGEL1"	946
"ANGEL2"	826
"ANGPT1"	85
"ANGPT2"	132
"ANGPT4"	7
"ANGPTL1"	29
"ANGPTL2"	346
"ANGPTL3"	0
"ANGPTL4"	342
"ANGPTL5"	1
"ANGPTL6"	15
"ANGPTL7"	5
"ANGPTL8"	3
"ANHX"	1
"ANK1"	1299
"ANK2"	43483
"ANK3"	21068
"ANKAR"	309
"ANKDD1A"	452
"ANKDD1B"	14
"ANKEF1"	75
"ANKFN1"	69
"ANKFY1"	2751
"ANKH"	3439
"ANKHD1"	1654
"ANKHD1-EIF4EBP3"	1626
"ANKIB1"	3502
"ANKK1"	21
"ANKLE1"	43
"ANKLE2"	1074
"ANKMY1"	363
"ANKMY2"	976
"ANKRA2"	217
"ANKRD1"	1
"ANKRD10"	1208
"ANKRD11"	4782
"ANKRD12"	6345
"ANKRD13A"	924
"ANKRD13B"	937
"ANKRD13C"	1361
"ANKRD13D"	860
"ANKRD16"	290
"ANKRD17"	7732
"ANKRD18A"	538
"ANKRD18B"	258
"ANKRD18CP"	374
"ANKRD18DP"	109
"ANKRD19P"	359
"ANKRD2"	12
"ANKRD20A1"	14
"ANKRD20A11P"	5
"ANKRD20A12P"	25
"ANKRD20A19P"	27
"ANKRD20A2"	18
"ANKRD20A3"	77
"ANKRD20A4"	82
"ANKRD20A4-ANKRD20A20P"	831
