gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-28_S8.bam
"ANTXR1"	1269
"ANTXR2"	252
"ANTXRL"	5
"ANTXRLP1"	3
"ANXA1"	521
"ANXA10"	0
"ANXA11"	2913
"ANXA13"	5
"ANXA2"	429
"ANXA2P1"	0
"ANXA2P2"	5
"ANXA2P3"	45
"ANXA2R"	22
"ANXA3"	348
"ANXA4"	430
"ANXA5"	1407
"ANXA6"	6268
"ANXA7"	3018
"ANXA8"	2
"ANXA8L1"	2
"ANXA9"	4
"AOAH"	205
"AOAH-IT1"	8
"AOC1"	0
"AOC2"	213
"AOC3"	73
"AOC4P"	2
"AOX1"	68
"AOX3P-AOX2P"	6
"AP1AR"	633
"AP1B1"	3845
"AP1B1P1"	0
"AP1G1"	4393
"AP1G2"	2376
"AP1M1"	1924
"AP1M2"	3
"AP1S1"	1392
"AP1S2"	855
"AP1S3"	94
"AP2A1"	4531
"AP2A2"	4074
"AP2B1"	15155
"AP2M1"	8810
"AP2S1"	1062
"AP3B1"	1410
"AP3B2"	3811
"AP3D1"	4370
"AP3M1"	1174
"AP3M2"	2974
"AP3S1"	1111
"AP3S2"	1170
"AP4B1"	941
"AP4B1-AS1"	3
"AP4E1"	663
"AP4M1"	249
"AP4S1"	920
"AP5B1"	1309
"AP5M1"	1753
"AP5S1"	213
"AP5Z1"	589
"APAF1"	869
"APBA1"	5981
"APBA2"	5758
"APBA3"	244
"APBB1"	7705
"APBB1IP"	166
"APBB2"	3097
"APBB3"	923
"APC"	17882
"APC2"	5852
"APCDD1"	883
"APCDD1L"	0
"APCDD1L-AS1"	10
"APCS"	0
"APEH"	1483
"APELA"	3
"APEX1"	893
"APEX2"	200
"APH1A"	952
"APH1B"	821
"API5"	3068
"APIP"	356
"APLF"	448
"APLN"	319
"APLNR"	1672
"APLP1"	12442
"APLP2"	12024
"APMAP"	2386
"APOA1"	4
"APOA1-AS"	1
"APOA2"	1
"APOA4"	0
"APOA5"	0
"APOB"	29
"APOBEC1"	0
"APOBEC2"	0
"APOBEC3A"	1
"APOBEC3A_B"	1
"APOBEC3B"	3
"APOBEC3B-AS1"	0
"APOBEC3C"	25
"APOBEC3D"	11
"APOBEC3F"	45
"APOBEC3G"	49
"APOBEC3H"	0
"APOBEC4"	0
"APOBR"	19
"APOC1"	151
"APOC1P1"	1
"APOC2"	59
"APOC3"	0
"APOC4"	0
"APOC4-APOC2"	59
"APOD"	3335
"APOE"	6287
"APOF"	0
"APOH"	0
"APOL1"	164
"APOL2"	1994
"APOL3"	183
"APOL4"	50
"APOL5"	2
"APOL6"	732
"APOLD1"	2298
"APOM"	13
"APOO"	432
"APOOL"	1207
"APOOP5"	0
"APOPT1"	445
"APP"	35483
"APPBP2"	3022
"APPL1"	2698
"APPL2"	1555
"APRT"	249
"APTR"	191
"APTX"	796
"AQP1"	3334
"AQP10"	0
"AQP11"	129
"AQP12A"	0
"AQP12B"	0
"AQP2"	0
"AQP3"	24
"AQP4"	34354
"AQP4-AS1"	363
"AQP5"	6
"AQP6"	14
"AQP7"	20
"AQP7P1"	54
"AQP7P3"	2
"AQP8"	7
"AQP9"	66
"AQR"	1869
"AR"	231
"ARAF"	398
"ARAP1"	1650
"ARAP1-AS2"	0
"ARAP2"	7424
"ARAP3"	501
"ARC"	165
"ARCN1"	3090
"AREG"	0
"AREL1"	1802
"ARF1"	6081
"ARF3"	10273
"ARF4"	1257
"ARF4-AS1"	37
"ARF5"	1712
"ARF6"	665
"ARFGAP1"	1823
"ARFGAP2"	2768
"ARFGAP3"	836
"ARFGEF1"	3610
"ARFGEF2"	6126
"ARFGEF3"	12418
"ARFIP1"	484
"ARFIP2"	1218
"ARFRP1"	742
"ARG1"	8
"ARG2"	266
"ARGFX"	0
"ARGFXP2"	0
"ARGLU1"	3055
"ARHGAP1"	1731
"ARHGAP10"	587
"ARHGAP11A"	56
"ARHGAP11B"	18
"ARHGAP12"	2228
"ARHGAP15"	92
"ARHGAP17"	723
"ARHGAP18"	476
"ARHGAP19"	521
"ARHGAP19-SLIT1"	287
"ARHGAP20"	1412
"ARHGAP21"	18244
"ARHGAP22"	468
"ARHGAP22-IT1"	34
"ARHGAP23"	3306
"ARHGAP24"	391
"ARHGAP25"	159
"ARHGAP26"	8569
"ARHGAP26-AS1"	0
"ARHGAP26-IT1"	87
"ARHGAP27"	346
"ARHGAP27P1"	330
"ARHGAP27P1-BPTFP1-KPNA2P3"	759
"ARHGAP27P2"	28
"ARHGAP28"	126
"ARHGAP29"	1434
"ARHGAP30"	117
"ARHGAP31"	1355
"ARHGAP31-AS1"	3
"ARHGAP32"	16507
"ARHGAP33"	1042
"ARHGAP35"	10072
"ARHGAP36"	46
"ARHGAP39"	1223
"ARHGAP4"	219
"ARHGAP40"	2
"ARHGAP42"	666
"ARHGAP44"	2287
"ARHGAP45"	205
"ARHGAP5"	12183
"ARHGAP5-AS1"	104
"ARHGAP6"	368
"ARHGAP8"	18
"ARHGAP9"	178
"ARHGDIA"	2019
"ARHGDIB"	356
"ARHGDIG"	1133
"ARHGEF1"	583
"ARHGEF10"	1493
"ARHGEF10L"	1136
"ARHGEF11"	4894
"ARHGEF12"	17182
"ARHGEF15"	67
"ARHGEF16"	33
"ARHGEF17"	3846
"ARHGEF18"	1536
"ARHGEF19"	18
"ARHGEF2"	3460
"ARHGEF25"	2096
"ARHGEF26"	922
"ARHGEF26-AS1"	186
"ARHGEF28"	1062
"ARHGEF3"	2502
"ARHGEF3-AS1"	0
"ARHGEF33"	286
"ARHGEF34P"	3
"ARHGEF35"	13
"ARHGEF37"	1087
"ARHGEF38"	0
"ARHGEF38-IT1"	0
"ARHGEF39"	8
"ARHGEF4"	4476
"ARHGEF40"	782
"ARHGEF5"	43
"ARHGEF6"	1934
"ARHGEF7"	7461
"ARHGEF7-AS1"	0
"ARHGEF7-AS2"	33
"ARHGEF9"	8755
"ARHGEF9-IT1"	47
"ARID1A"	3398
"ARID1B"	3780
"ARID2"	1654
"ARID3A"	121
"ARID3B"	204
"ARID3C"	28
